Date,Open,High,Low,Close,Adj Close,Volume
2023-08-21,0.028273,0.028490,0.028273,0.028273,0.028273,0
2023-08-22,0.028417,0.028645,0.028425,0.028417,0.028417,0
2023-08-23,0.028555,0.028693,0.028474,0.028555,0.028555,0
2023-08-24,0.028651,0.028727,0.028539,0.028651,0.028651,0
2023-08-25,0.028580,0.028588,0.028425,0.028580,0.028580,0
2023-08-28,0.028517,0.028519,0.028337,0.028517,0.028517,0
2023-08-29,0.028385,0.028580,0.028361,0.028385,0.028385,0
2023-08-30,0.028571,0.028634,0.028466,0.028571,0.028571,0
2023-08-31,0.028576,0.028678,0.028548,0.028576,0.028576,0
2023-09-01,0.028570,0.028693,0.028457,0.028570,0.028570,0
2023-09-04,0.028490,0.028535,0.028353,0.028490,0.028490,0
2023-09-05,0.028360,0.028378,0.028177,0.028360,0.028360,0
2023-09-06,0.028213,0.028241,0.028090,0.028213,0.028213,0
2023-09-07,0.028129,0.028153,0.028050,0.028129,0.028129,0
2023-09-08,0.028065,0.028205,0.028063,0.028065,0.028065,0
2023-09-11,0.028169,0.028241,0.028098,0.028169,0.028169,0
2023-09-12,0.028169,0.028161,0.027990,0.028169,0.028169,0
2023-09-13,0.028098,0.028114,0.027949,0.028098,0.028098,0
2023-09-14,0.027980,0.028066,0.027920,0.027980,0.027980,0
2023-09-15,0.027949,0.028044,0.027907,0.027949,0.027949,0
2023-09-18,0.028003,0.028074,0.027964,0.028003,0.028003,0
2023-09-19,0.028039,0.028058,0.027770,0.028039,0.028039,0
2023-09-20,0.027771,0.027847,0.027546,0.027771,0.027771,0
2023-09-21,0.027601,0.027726,0.027542,0.027601,0.027601,0
2023-09-22,0.027685,0.027863,0.027594,0.027685,0.027685,0
2023-09-25,0.027801,0.027863,0.027663,0.027801,0.027801,0
2023-09-26,0.027667,0.027679,0.027405,0.027667,0.027667,0
2023-09-27,0.027475,0.027480,0.027290,0.027475,0.027475,0
2023-09-28,0.027270,0.027357,0.027158,0.027270,0.027270,0
2023-09-29,0.027348,0.027513,0.027293,0.027348,0.027348,0
2023-10-02,0.027267,0.027270,0.027040,0.027267,0.027267,0
2023-10-03,0.027010,0.027076,0.026916,0.027010,0.027010,0
2023-10-04,0.026961,0.027100,0.026860,0.026961,0.026961,0
2023-10-05,0.027089,0.027189,0.026975,0.027089,0.027089,0
2023-10-06,0.027075,0.027150,0.026895,0.027075,0.027075,0
2023-10-09,0.027071,0.027079,0.026938,0.027071,0.027071,0
2023-10-10,0.027093,0.027346,0.027071,0.027093,0.027093,0
2023-10-11,0.027350,0.027541,0.027358,0.027350,0.027350,0
2023-10-12,0.027457,0.027728,0.027457,0.027457,0.027457,0
2023-10-13,0.027473,0.027669,0.027364,0.027473,0.027473,0
2023-10-16,0.027636,0.027653,0.027482,0.027636,0.027636,0
2023-10-17,0.027553,0.027593,0.027417,0.027553,0.027553,0
2023-10-18,0.027503,0.027607,0.027458,0.027503,0.027503,0
2023-10-19,0.027526,0.027530,0.027396,0.027526,0.027526,0
2023-10-20,0.027507,0.027511,0.027352,0.027507,0.027507,0
2023-10-23,0.027375,0.027533,0.027304,0.027375,0.027375,0
2023-10-24,0.027557,0.027716,0.027547,0.027557,0.027557,0
2023-10-25,0.027655,0.027735,0.027615,0.027655,0.027655,0
2023-10-26,0.027609,0.027620,0.027485,0.027609,0.027609,0
2023-10-27,0.027609,0.027664,0.027571,0.027609,0.027609,0
2023-10-30,0.027702,0.027902,0.027655,0.027702,0.027702,0
2023-10-31,0.027847,0.027898,0.027678,0.027847,0.027847,0
2023-11-01,0.027701,0.027706,0.027525,0.027701,0.027701,0
2023-11-02,0.027768,0.027911,0.027747,0.027768,0.027768,0
2023-11-03,0.027809,0.028205,0.027766,0.027809,0.027809,0
2023-11-06,0.028155,0.028273,0.028116,0.028155,0.028155,0
2023-11-07,0.028177,0.028225,0.028050,0.028177,0.028177,0
2023-11-08,0.028171,0.028218,0.028074,0.028171,0.028171,0
2023-11-09,0.028145,0.028257,0.028074,0.028145,0.028145,0
2023-11-10,0.027960,0.027988,0.027755,0.027960,0.027960,0
2023-11-13,0.027718,0.027847,0.027663,0.027718,0.027718,0
2023-11-14,0.027785,0.028129,0.027681,0.027785,0.027785,0
2023-11-15,0.028171,0.028233,0.028042,0.028171,0.028171,0
2023-11-16,0.028168,0.028473,0.028006,0.028168,0.028168,0
2023-11-17,0.028413,0.028580,0.028353,0.028413,0.028413,0
2023-11-18,0.028498,0.028498,0.028498,0.028498,0.028498,0
